BestSquatKg,BestBenchKg
129.27,65.77
195.0,117.5
230.0,150.0
232.5,150.0
240.0,142.5
115.0,57.5
112.5,102.5
256.28,195.04
204.12,147.42
140.0,72.5
215.0,142.5
192.5,107.5
163.29,120.2
85.0,37.5
226.8,145.15
181.44,124.74
172.37,124.74
247.5,165.0
360.0,185.0
204.12,120.2
122.5,62.5
257.5,202.5
183.7,90.72
150.0,80.0
300.0,207.5
151.95,83.91
131.54,81.65
185.0,105.0
226.8,124.74
106.59,61.23
130.0,82.5
235.0,152.5
130.0,92.5
197.5,127.5
210.0,170.0
250.0,177.5
238.14,117.93
183.7,108.86
200.0,137.5
129.27,108.86
181.44,122.47
174.63,106.59
205.0,182.5
115.67,56.7
215.46,122.47
210.0,150.0
145.15,77.11
205.0,150.0
195.0,142.5
205.0,122.5
270.0,182.5
195.0,150.0
65.0,42.5
180.0,105.0
140.61,77.11
155.0,80.0
185.0,115.0
127.5,85.0
120.0,62.5
182.5,125.0
205.0,160.0
215.46,167.83
215.0,115.0
122.5,97.5
75.0,155.0
129.27,77.11
222.5,165.0
150.0,110.0
142.88,102.06
83.91,43.09
185.0,140.0
136.08,88.45
150.0,95.0
87.5,60.0
110.0,50.0
192.78,133.81
65.0,55.0
155.0,80.0
230.0,177.5
202.5,132.5
104.33,54.43
145.0,112.5
192.78,124.74
122.5,67.5
135.0,112.5
215.46,120.2
124.74,74.84
205.0,145.0
206.38,136.08
244.94,140.61
210.0,105.0
108.86,77.11
129.27,79.38
270.0,190.0
151.95,102.06
285.0,195.0
107.5,57.5
158.76,97.52
210.0,120.0
170.1,106.59
120.0,77.5
122.5,50.0
320.0,287.5
120.2,65.77
113.4,63.5
277.5,162.5
210.5,122.5
80.0,52.5
226.8,117.93
210.0,140.0
240.0,157.5
185.0,92.5
65.0,45.0
142.88,79.38
130.0,70.0
115.0,82.5
132.5,95.0
92.99,65.77
192.78,174.63
95.25,47.63
345.0,195.0
185.0,112.5
205.0,50.0
206.38,106.59
60.0,47.5
95.0,50.0
142.5,80.0
100.0,62.5
295.0,195.0
97.5,52.5
57.5,32.5
200.0,115.0
57.5,50.0
160.0,125.0
80.0,75.0
222.26,142.88
130.0,70.0
120.0,112.5
130.0,50.0
112.5,95.0
220.0,205.0
170.0,155.0
260.0,227.5
152.5,122.5
182.5,160.0
195.0,147.5
149.69,74.84
300.0,160.0
163.29,129.27
225.0,120.0
165.56,83.91
215.46,124.74
142.88,122.47
195.04,120.2
142.5,75.0
158.76,86.18
205.0,130.0
267.62,181.44
172.37,120.2
250.0,160.0
276.69,199.58
205.0,150.0
106.59,61.23
165.0,105.0
117.5,47.5
190.51,120.2
220.0,155.0
125.0,77.5
165.0,105.0
170.0,120.0
140.0,65.0
260.0,185.0
182.5,110.0
135.0,80.0
172.37,106.59
90.0,40.0
150.0,116.0
115.0,62.5
87.5,55.0
183.7,95.25
145.15,99.79
205.0,130.0
180.0,147.5
147.5,102.5
272.5,162.5
107.5,77.5
301.0,195.5
165.0,115.0
240.0,165.0
102.06,74.84
350.0,142.5
350.0,230.0
130.0,117.5
257.5,175.0
180.0,100.0
122.5,65.0
195.0,95.0
165.56,88.45
160.0,80.0
47.5,40.0
265.0,222.5
272.5,272.5
110.0,67.5
362.87,308.44
260.82,129.27
120.0,70.0
90.0,42.5
205.0,150.0
97.52,56.7
330.0,172.5
237.5,150.0
82.5,50.0
120.2,56.7
167.83,106.59
220.0,132.5
97.5,45.0
167.5,97.5
213.19,158.76
167.83,92.99
200.0,122.5
130.0,112.5
200.0,150.0
230.0,117.5
242.5,150.0
137.5,115.0
150.0,120.0
77.5,32.5
226.8,131.54
124.74,77.11
205.0,112.5
240.4,151.95
175.0,110.0
172.5,82.5
111.13,65.77
145.15,79.38
220.0,200.0
220.0,142.5
127.01,52.16
232.5,147.5
50.0,220.0
301.64,158.76
133.81,74.84
175.0,120.0
125.0,52.5
92.5,42.5
212.5,107.5
212.5,127.5
300.0,182.5
232.5,175.0
82.5,42.5
70.0,37.5
240.0,140.0
227.5,162.5
170.1,92.99
250.0,155.0
187.5,117.5
222.5,145.0
340.19,231.33
202.5,137.5
110.0,55.0
135.0,55.0
112.5,55.0
142.5,95.0
170.0,75.0
