BestSquatKg,BestDeadliftKg
137.5,132.5
245.0,255.0
240.4,240.4
360.0,300.0
97.5,110.0
195.0,225.0
192.78,204.12
205.0,205.0
400.0,315.0
92.5,125.0
200.0,235.0
97.5,147.5
117.5,140.0
215.0,260.5
97.52,136.08
97.5,115.0
172.5,180.0
300.0,297.5
235.0,250.0
150.0,195.0
122.5,137.5
162.5,197.5
142.88,154.22
72.5,92.5
337.5,320.0
185.0,172.5
170.1,181.44
190.51,154.22
162.5,235.0
255.0,282.5
245.0,260.0
75.0,115.0
245.0,300.0
65.0,107.5
120.0,132.5
45.0,57.5
92.5,112.5
137.5,155.0
155.0,182.5
100.0,120.0
149.69,170.1
195.0,250.0
160.0,65.0
165.56,158.76
130.0,182.5
208.0,227.5
310.0,310.0
219.99,244.94
149.69,140.61
129.27,151.95
276.69,226.8
215.0,210.0
285.0,260.0
272.16,254.01
275.0,322.5
195.0,232.5
230.0,257.5
257.5,265.0
210.0,215.0
185.0,222.5
175.0,175.0
215.0,225.0
183.7,165.56
105.0,117.5
130.0,130.0
260.0,240.0
240.0,280.0
205.0,237.5
105.0,115.0
300.0,290.0
292.57,290.3
267.5,265.0
135.0,130.0
95.0,112.5
129.27,161.03
117.5,145.0
147.5,197.5
47.5,92.5
185.0,230.0
165.56,208.65
97.5,135.0
165.0,190.0
310.71,288.03
108.9,99.8
136.08,129.27
92.5,117.5
181.44,167.83
204.12,208.65
105.0,140.0
240.0,245.0
245.0,247.5
240.0,270.0
154.22,183.7
177.5,220.0
142.88,176.9
130.0,150.0
192.78,170.1
285.0,302.5
70.0,87.5
226.8,251.74
112.5,142.5
70.0,115.0
165.0,182.5
140.61,154.22
192.5,202.5
230.0,227.5
135.0,130.0
256.28,219.99
112.5,145.0
110.0,145.0
192.5,210.0
192.5,220.0
133.81,117.93
106.59,113.4
105.0,137.5
137.5,160.0
97.52,122.47
165.0,185.0
217.72,233.6
195.0,220.0
150.0,175.0
150.0,187.5
180.0,195.0
120.0,120.0
136.08,161.03
60.0,87.5
242.5,250.0
149.69,158.76
65.0,90.0
