BestSquatKg,BestBenchKg
65.0,37.5
112.5,77.5
,49.9
,192.5
195.0,90.0
200.0,120.0
137.5,90.0
280.0,232.5
175.0,125.0
199.58,138.35
190.0,
110.0,57.5
112.5,75.0
129.27,70.31
,185.0
,206.38
107.5,62.5
185.0,127.5
165.0,115.0
165.56,117.93
145.0,67.5
,
,195.04
190.0,130.0
183.7,88.45
,
117.5,65.0
237.5,132.5
300.0,195.0
,97.5
130.0,65.0
115.67,90.72
120.0,82.5
,50.0
165.0,97.5
,34.02
385.55,235.87
142.5,57.5
,45.0
,-50.0
185.0,112.5
,
,
220.0,145.0
52.5,30.0
215.0,140.0
,230.0
,127.5
172.5,127.5
325.0,192.5
110.0,62.5
200.0,120.0
175.0,122.5
,97.5
182.5,145.0
102.06,
115.0,65.0
226.8,136.08
225.0,147.5
165.56,95.25
202.5,130.0
202.5,132.5
,125.0
205.0,155.0
,
,104.33
165.0,115.0
232.5,180.0
115.67,49.9
170.1,147.42
,
145.0,120.0
206.38,149.69
137.5,82.5
182.5,137.5
233.6,142.88
187.5,125.0
60.0,45.0
204.12,129.27
,65.0
130.0,65.0
,-245.0
100.0,67.5
52.16,
205.0,197.5
190.0,122.5
,149.69
272.5,210.0
67.5,40.0
200.0,130.0
195.0,160.0
199.58,95.25
,197.5
106.59,77.11
,120.0
227.5,115.0
92.5,55.0
226.8,104.33
210.0,120.0
,
212.5,130.0
,127.5
147.42,111.13
,185.97
107.5,57.5
61.23,43.09
105.0,67.5
147.5,107.5
55.0,175.0
210.0,115.0
67.5,52.5
195.0,126.0
,200.0
,90.0
295.0,170.0
362.87,240.4
142.5,95.0
,200.0
,
124.74,61.23
,
204.12,138.35
132.5,85.0
127.5,70.0
,75.0
,207.5
230.0,170.0
249.48,181.44
92.5,57.5
220.0,132.5
310.0,200.0
181.44,92.99
,55.0
108.86,58.97
,130.0
208.65,124.74
170.1,92.99
77.5,42.5
188.24,83.91
100.0,45.0
195.0,135.0
,97.5
204.12,147.42
,
,90.0
110.0,55.0
215.0,160.0
182.5,100.0
,346.0
185.0,95.0
175.0,155.0
,55.22
102.5,52.5
142.5,87.5
192.78,124.74
185.0,107.5
,67.5
102.06,52.16
136.08,90.72
,
204.12,136.08
77.5,37.5
190.51,131.54
272.5,182.5
145.0,72.5
190.0,125.0
,200.0
,156.49
,107.5
,174.63
147.5,115.0
,
160.0,150.0
,197.31
217.72,104.33
136.08,108.86
133.81,81.65
220.0,152.5
235.87,129.27
285.0,212.5
,183.7
,
,140.61
240.0,165.0
,145.0
150.0,77.5
195.0,100.0
467.2,340.19
,
230.0,130.0
105.0,80.0
265.0,152.5
70.0,47.5
,
105.0,57.5
-142.5,
,222.5
,
206.38,113.4
,42.5
65.77,61.23
240.0,160.0
,
,
310.0,205.0
217.5,115.0
205.0,140.0
392.5,277.5
315.0,182.5
110.0,55.0
,
,190.51
,55.0
287.5,160.0
,180.0
-72.5,-55.0
183.7,108.86
65.0,47.5
162.5,110.0
,145.0
,
,200.0
,392.5
140.0,112.5
,162.5
167.5,90.0
170.1,120.2
250.0,190.0
,
,154.22
,
158.76,90.72
,55.0
200.0,155.0
,87.5
,163.29
,65.0
,
240.0,167.5
127.5,62.5
100.0,60.0
,65.0
230.0,165.0
82.5,42.5
125.0,65.0
92.5,60.0
188.2,113.4
165.0,102.5
158.76,90.72
272.5,185.0
90.0,57.5
,147.42
,100.0
240.0,145.0
75.0,60.0
75.0,41.0
131.54,79.38
187.5,157.5
