BestSquatKg,BestBenchKg
167.5,77.5
249.48,142.88
70.0,57.5
120.0,55.0
102.5,62.5
245.0,180.0
145.15,68.04
217.72,136.08
156.49,83.91
219.99,136.08
255.0,185.0
120.2,70.31
280.0,190.0
262.5,172.5
142.88,97.52
197.5,122.5
188.24,129.27
154.22,79.38
177.5,105.0
132.5,115.0
117.5,57.5
138.35,86.18
260.0,227.5
215.0,150.0
120.2,63.5
226.8,138.35
157.5,112.5
125.0,97.5
113.4,58.97
230.0,125.0
82.5,52.5
287.5,160.0
275.0,175.0
272.16,208.65
82.5,67.5
212.5,152.5
272.5,195.0
137.5,130.0
170.0,102.5
183.7,145.15
147.42,61.23
145.0,65.0
295.0,195.0
199.92,119.98
197.5,117.5
112.5,65.0
183.7,149.69
199.58,140.61
233.6,151.95
150.0,150.0
122.5,70.0
97.5,47.5
385.0,295.0
105.0,55.0
181.44,117.93
105.0,70.0
230.0,165.0
370.0,260.0
212.5,115.0
79.38,43.09
150.0,130.0
222.5,150.0
182.5,162.5
177.5,122.5
149.69,77.11
272.16,172.37
293.0,200.0
167.5,127.5
190.0,125.0
158.76,102.06
67.5,35.0
120.0,60.0
232.5,137.5
172.5,112.5
227.5,137.5
307.5,220.0
160.0,120.0
175.0,102.5
227.5,142.5
303.91,208.65
250.0,177.5
145.0,92.5
295.0,172.5
205.0,130.0
305.0,180.0
150.0,102.5
254.01,158.76
272.5,167.5
167.83,120.2
130.0,70.0
158.76,77.11
290.0,212.5
142.88,127.01
185.0,100.0
132.5,72.5
85.0,55.0
122.5,85.0
290.0,165.0
280.0,185.0
167.5,130.0
115.0,65.0
172.37,92.99
182.5,140.0
212.5,137.5
226.8,138.35
70.0,37.5
157.5,90.0
132.5,100.0
222.26,122.47
131.54,68.04
160.0,112.5
190.0,162.5
100.0,52.5
242.5,142.5
182.5,125.0
97.5,70.0
147.42,92.99
172.5,112.5
200.0,120.0
165.0,120.0
107.5,60.0
217.5,165.0
215.0,142.5
180.0,195.0
142.5,65.0
272.5,190.0
115.0,65.0
117.93,65.77
100.0,55.0
230.0,140.0
90.0,55.0
102.5,95.0
275.0,187.5
182.5,165.0
222.5,132.5
240.0,140.0
140.0,110.0
140.61,97.52
180.0,127.5
231.33,113.4
147.42,79.38
151.95,86.18
155.0,137.5
172.5,102.5
172.37,108.86
107.5,52.5
213.19,113.4
154.22,86.18
170.0,95.0
92.5,67.5
210.0,150.0
160.0,100.0
205.0,157.5
142.5,67.5
167.5,117.5
105.0,42.5
170.0,105.0
220.0,147.5
120.0,55.0
200.0,90.0
149.69,113.4
112.5,80.0
93.0,56.7
110.0,65.0
142.88,102.06
185.97,145.15
185.0,135.0
235.0,140.0
102.06,49.9
200.0,132.5
92.5,72.5
215.0,117.5
142.88,90.72
150.0,102.5
177.5,125.0
190.51,111.13
185.0,120.0
30.0,27.5
142.88,102.06
353.8,249.48
137.5,85.0
140.61,63.5
55.0,37.5
190.0,115.0
80.0,45.0
147.5,105.0
360.0,197.5
92.5,85.0
244.94,206.38
212.5,135.0
170.1,113.4
107.5,57.5
200.0,122.5
115.0,92.5
102.5,70.0
337.5,205.0
210.0,137.5
210.0,145.0
102.06,68.04
120.0,55.0
108.86,61.23
227.5,140.0
176.9,117.93
97.5,60.0
140.0,67.5
242.5,140.0
225.0,142.5
165.0,110.0
257.5,145.0
90.0,50.0
185.0,140.0
80.0,60.0
102.06,79.38
263.08,185.97
215.46,120.2
192.5,137.5
124.74,74.84
125.0,90.0
226.8,108.86
120.2,58.97
80.0,40.0
145.5,87.5
156.49,74.84
222.26,127.01
97.5,52.5
197.5,150.0
92.99,79.38
122.5,85.0
220.0,190.0
270.0,160.0
102.5,82.5
287.5,197.5
317.51,167.83
175.0,142.5
160.0,125.0
92.5,50.0
135.0,75.0
255.0,142.5
250.0,150.0
242.5,142.5
182.5,130.0
251.74,181.44
95.0,67.5
175.0,125.0
174.63,83.91
107.5,72.5
215.0,132.5
222.5,155.0
200.0,150.0
210.0,135.0
165.0,125.0
200.0,105.0
215.46,131.54
310.0,150.0
195.0,115.0
133.8,59.0
263.08,131.54
162.5,97.5
200.0,152.5
140.0,110.0
147.42,92.99
205.0,160.0
155.0,92.5
125.0,75.0
142.5,97.5
95.0,60.0
300.0,195.0
283.5,249.48
192.5,142.5
300.0,157.5
170.1,124.74
230.0,145.0
229.06,138.35
61.23,54.43
201.85,120.2
108.86,49.9
170.0,92.5
222.5,165.0
200.0,140.0
142.5,92.5
272.5,137.5
272.5,195.0
250.0,182.5
105.0,60.0
124.74,117.93
260.82,124.74
155.0,117.5
40.82,34.02
250.0,165.0
54.43,43.09
112.5,77.5
245.0,160.0
237.5,175.0
200.0,150.0
195.04,129.27
65.0,55.0
145.0,82.5
370.0,277.5
85.0,55.0
95.0,47.5
325.0,227.5
90.0,47.5
130.0,80.0
133.81,79.38
322.05,201.85
165.0,75.0
215.0,110.0
200.0,150.0
110.0,77.5
250.0,127.5
200.0,107.5
145.0,75.0
95.0,52.5
170.0,105.0
337.5,217.5
199.58,106.59
175.0,130.0
107.5,80.0
215.0,167.5
120.0,110.0
165.0,135.0
225.0,112.5
150.0,145.0
182.5,140.0
240.0,192.5
104.33,61.23
77.5,57.5
183.7,95.25
242.5,192.5
105.0,50.0
142.88,72.57
152.5,95.0
95.0,65.0
207.5,150.0
183.7,102.06
140.0,90.0
233.6,104.33
275.0,180.0
265.0,162.5
160.0,110.0
75.0,35.0
138.35,113.4
240.4,108.86
210.0,135.0
226.8,142.88
107.5,65.0
160.0,115.0
87.5,47.5
183.7,127.0
208.65,145.15
192.78,108.86
220.0,170.0
156.49,111.13
205.0,157.5
87.5,45.0
82.5,40.0
195.0,137.5
127.5,80.0
185.5,105.0
244.94,142.88
113.4,61.23
170.0,95.0
170.0,100.0
92.5,52.5
122.5,87.5
182.5,75.0
162.5,97.5
257.5,167.5
260.0,155.0
67.5,37.5
